"Notes"	"Year"	"Year Code"	"State"	"State Code"	Births
	"2005"	"2005"	"Mississippi"	"28"	42192
	"2005"	"2005"	"Missouri"	"29"	78431
	"2005"	"2005"	"Montana"	"30"	11550
	"2005"	"2005"	"Nebraska"	"31"	26087
	"2005"	"2005"	"Nevada"	"32"	37152
	"2005"	"2005"	"New Hampshire"	"33"	14384
	"2005"	"2005"	"New Jersey"	"34"	113417
	"2005"	"2005"	"New Mexico"	"35"	28701
	"2005"	"2005"	"New York"	"36"	245411
	"2005"	"2005"	"North Carolina"	"37"	122706
	"2005"	"2005"	"North Dakota"	"38"	8378
	"2005"	"2005"	"Ohio"	"39"	148005
	"2005"	"2005"	"Oklahoma"	"40"	51655
	"2005"	"2005"	"Oregon"	"41"	45793
	"2005"	"2005"	"Pennsylvania"	"42"	144926
	"2005"	"2005"	"Rhode Island"	"44"	12643
	"2005"	"2005"	"South Carolina"	"45"	57532
	"2005"	"2005"	"South Dakota"	"46"	11440
	"2005"	"2005"	"Tennessee"	"47"	81503
	"2005"	"2005"	"Texas"	"48"	384633
	"2005"	"2005"	"Utah"	"49"	51468
	"2005"	"2005"	"Vermont"	"50"	6279
	"2005"	"2005"	"Virginia"	"51"	104220
	"2005"	"2005"	"Washington"	"53"	82474
	"2005"	"2005"	"West Virginia"	"54"	20799
	"2005"	"2005"	"Wisconsin"	"55"	70823
	"2005"	"2005"	"Wyoming"	"56"	7224
"Total"	"2005"	"2005"			4117159
	"2006"	"2006"	"Alabama"	"01"	63017
	"2006"	"2006"	"Alaska"	"02"	10966
	"2006"	"2006"	"Arizona"	"04"	102148
	"2006"	"2006"	"Arkansas"	"05"	40841
	"2006"	"2006"	"California"	"06"	560331
	"2006"	"2006"	"Colorado"	"08"	70529
	"2006"	"2006"	"Connecticut"	"09"	41650
	"2006"	"2006"	"Delaware"	"10"	11948
	"2006"	"2006"	"Florida"	"12"	236079
	"2006"	"2006"	"Georgia"	"13"	148151
	"2006"	"2006"	"Hawaii"	"15"	18928
	"2006"	"2006"	"Idaho"	"16"	24143
	"2006"	"2006"	"Illinois"	"17"	179980
	"2006"	"2006"	"Indiana"	"18"	88437
	"2006"	"2006"	"Iowa"	"19"	40539
	"2006"	"2006"	"Kansas"	"20"	40860
	"2006"	"2006"	"Kentucky"	"21"	58113
	"2006"	"2006"	"Louisiana"	"22"	63144
	"2006"	"2006"	"Maine"	"23"	14126
	"2006"	"2006"	"Maryland"	"24"	77196
	"2006"	"2006"	"Massachusetts"	"25"	77406
	"2006"	"2006"	"Michigan"	"26"	127150
	"2006"	"2006"	"Minnesota"	"27"	73316
	"2006"	"2006"	"Mississippi"	"28"	45847
	"2006"	"2006"	"Missouri"	"29"	81191
	"2006"	"2006"	"Montana"	"30"	12471
	"2006"	"2006"	"Nebraska"	"31"	26665
	"2006"	"2006"	"Nevada"	"32"	39901
	"2006"	"2006"	"New Hampshire"	"33"	14340
	"2006"	"2006"	"New Jersey"	"34"	114614
	"2006"	"2006"	"New Mexico"	"35"	29827
	"2006"	"2006"	"New York"	"36"	249163
	"2006"	"2006"	"North Carolina"	"37"	127481
	"2006"	"2006"	"North Dakota"	"38"	8607
	"2006"	"2006"	"Ohio"	"39"	150193
	"2006"	"2006"	"Oklahoma"	"40"	53878
	"2006"	"2006"	"Oregon"	"41"	48550
	"2006"	"2006"	"Pennsylvania"	"42"	148655
	"2006"	"2006"	"Rhode Island"	"44"	12348
	"2006"	"2006"	"South Carolina"	"45"	61969
	"2006"	"2006"	"South Dakota"	"46"	11892
	"2006"	"2006"	"Tennessee"	"47"	84118
	"2006"	"2006"	"Texas"	"48"	398237
	"2006"	"2006"	"Utah"	"49"	53437
	"2006"	"2006"	"Vermont"	"50"	6502
	"2006"	"2006"	"Virginia"	"51"	107484
	"2006"	"2006"	"Washington"	"53"	86634
	"2006"	"2006"	"West Virginia"	"54"	20896
	"2006"	"2006"	"Wisconsin"	"55"	72155
	"2006"	"2006"	"Wyoming"	"56"	7656
"Total"	"2006"	"2006"			4243709
"Total"					16522008
"---"
"Dataset: Natality, 2003-2006"
"Query Parameters:"
"Title: natality_yearly_20032006"
"Age of Mother 9: 15-19 years; 20-24 years; 25-29 years; 30-34 years; 35-39 years; 40-44 years"
"States: Alabama (01); Alaska (02); Arizona (04); Arkansas (05); California (06); Colorado (08); Connecticut (09); Delaware (10);"
"Florida (12); Georgia (13); Hawaii (15); Idaho (16); Illinois (17); Indiana (18); Iowa (19); Kansas (20); Kentucky (21);"
"Louisiana (22); Maine (23); Maryland (24); Massachusetts (25); Michigan (26); Minnesota (27); Mississippi (28); Missouri (29);"
"Montana (30); Nebraska (31); Nevada (32); New Hampshire (33); New Jersey (34); New Mexico (35); New York (36); North Carolina"
"(37); North Dakota (38); Ohio (39); Oklahoma (40); Oregon (41); Pennsylvania (42); Rhode Island (44); South Carolina (45); South"
"Dakota (46); Tennessee (47); Texas (48); Utah (49); Vermont (50); Virginia (51); Washington (53); West Virginia (54); Wisconsin"
"(55); Wyoming (56)"
"Group By: Year; State"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
