"Notes"	"Year"	"Year Code"	"State"	"State Code"	Births
	"1999"	"1999"	"Alabama"	"01"	61871
	"1999"	"1999"	"Alaska"	"02"	9913
	"1999"	"1999"	"Arizona"	"04"	80834
	"1999"	"1999"	"Arkansas"	"05"	36601
	"1999"	"1999"	"California"	"06"	516569
	"1999"	"1999"	"Colorado"	"08"	61965
	"1999"	"1999"	"Connecticut"	"09"	43193
	"1999"	"1999"	"Delaware"	"10"	10633
	"1999"	"1999"	"Florida"	"12"	196275
	"1999"	"1999"	"Georgia"	"13"	126209
	"1999"	"1999"	"Hawaii"	"15"	16980
	"1999"	"1999"	"Idaho"	"16"	19818
	"1999"	"1999"	"Illinois"	"17"	181456
	"1999"	"1999"	"Indiana"	"18"	85809
	"1999"	"1999"	"Iowa"	"19"	37484
	"1999"	"1999"	"Kansas"	"20"	38696
	"1999"	"1999"	"Kentucky"	"21"	54261
	"1999"	"1999"	"Louisiana"	"22"	66830
	"1999"	"1999"	"Maine"	"23"	13593
	"1999"	"1999"	"Maryland"	"24"	71702
	"1999"	"1999"	"Massachusetts"	"25"	80742
	"1999"	"1999"	"Michigan"	"26"	133216
	"1999"	"1999"	"Minnesota"	"27"	65798
	"1999"	"1999"	"Mississippi"	"28"	42457
	"1999"	"1999"	"Missouri"	"29"	75228
	"1999"	"1999"	"Montana"	"30"	10760
	"1999"	"1999"	"Nebraska"	"31"	23849
	"1999"	"1999"	"Nevada"	"32"	29242
	"1999"	"1999"	"New Hampshire"	"33"	14020
	"1999"	"1999"	"New Jersey"	"34"	113746
	"1999"	"1999"	"New Mexico"	"35"	27066
	"1999"	"1999"	"New York"	"36"	254769
	"1999"	"1999"	"North Carolina"	"37"	113362
	"1999"	"1999"	"North Dakota"	"38"	7628
	"1999"	"1999"	"Ohio"	"39"	152148
	"1999"	"1999"	"Oklahoma"	"40"	48847
	"1999"	"1999"	"Oregon"	"41"	45053
	"1999"	"1999"	"Pennsylvania"	"42"	144935
	"1999"	"1999"	"Rhode Island"	"44"	12338
	"1999"	"1999"	"South Carolina"	"45"	54718
	"1999"	"1999"	"South Dakota"	"46"	10502
	"1999"	"1999"	"Tennessee"	"47"	77503
	"1999"	"1999"	"Texas"	"48"	347841
	"1999"	"1999"	"Utah"	"49"	46197
	"1999"	"1999"	"Vermont"	"50"	6551
	"1999"	"1999"	"Virginia"	"51"	95172
	"1999"	"1999"	"Washington"	"53"	79334
	"1999"	"1999"	"West Virginia"	"54"	20689
	"1999"	"1999"	"Wisconsin"	"55"	68020
	"1999"	"1999"	"Wyoming"	"56"	6119
"Total"	"1999"	"1999"			3938542
	"2000"	"2000"	"Alabama"	"01"	63075
	"2000"	"2000"	"Alaska"	"02"	9951
	"2000"	"2000"	"Arizona"	"04"	84965
	"2000"	"2000"	"Arkansas"	"05"	37630
	"2000"	"2000"	"California"	"06"	530111
	"2000"	"2000"	"Colorado"	"08"	65225
	"2000"	"2000"	"Connecticut"	"09"	42893
	"2000"	"2000"	"Delaware"	"10"	11010
	"2000"	"2000"	"Florida"	"12"	203397
	"2000"	"2000"	"Georgia"	"13"	132144
	"2000"	"2000"	"Hawaii"	"15"	17510
	"2000"	"2000"	"Idaho"	"16"	20334
	"2000"	"2000"	"Illinois"	"17"	184461
	"2000"	"2000"	"Indiana"	"18"	87514
	"2000"	"2000"	"Iowa"	"19"	38191
	"2000"	"2000"	"Kansas"	"20"	39571
	"2000"	"2000"	"Kentucky"	"21"	55873
	"2000"	"2000"	"Louisiana"	"22"	67592
	"2000"	"2000"	"Maine"	"23"	13577
	"2000"	"2000"	"Maryland"	"24"	74040
	"2000"	"2000"	"Massachusetts"	"25"	81375
	"2000"	"2000"	"Michigan"	"26"	135801
	"2000"	"2000"	"Minnesota"	"27"	67417
	"2000"	"2000"	"Mississippi"	"28"	43822
	"2000"	"2000"	"Missouri"	"29"	76258
	"2000"	"2000"	"Montana"	"30"	10938
	"2000"	"2000"	"Nebraska"	"31"	24590
	"2000"	"2000"	"Nevada"	"32"	30734
	"2000"	"2000"	"New Hampshire"	"33"	14582
	"2000"	"2000"	"New Jersey"	"34"	115320
	"2000"	"2000"	"New Mexico"	"35"	27121
	"2000"	"2000"	"New York"	"36"	257868
	"2000"	"2000"	"North Carolina"	"37"	119892
	"2000"	"2000"	"North Dakota"	"38"	7671
	"2000"	"2000"	"Ohio"	"39"	155046
	"2000"	"2000"	"Oklahoma"	"40"	49635
	"2000"	"2000"	"Oregon"	"41"	45679
	"2000"	"2000"	"Pennsylvania"	"42"	145834
	"2000"	"2000"	"Rhode Island"	"44"	12464
	"2000"	"2000"	"South Carolina"	"45"	55859
	"2000"	"2000"	"South Dakota"	"46"	10316
	"2000"	"2000"	"Tennessee"	"47"	79328
	"2000"	"2000"	"Texas"	"48"	362061
	"2000"	"2000"	"Utah"	"49"	47277
