"Notes"	"Year"	"Year Code"	"State"	"State Code"	Births
	"2007"	"2007"	"Alabama"	"01"	64631
	"2007"	"2007"	"Alaska"	"02"	11022
	"2007"	"2007"	"Arizona"	"04"	102660
	"2007"	"2007"	"Arkansas"	"05"	41238
	"2007"	"2007"	"California"	"06"	564307
	"2007"	"2007"	"Colorado"	"08"	70574
	"2007"	"2007"	"Connecticut"	"09"	41501
	"2007"	"2007"	"Delaware"	"10"	12142
	"2007"	"2007"	"Florida"	"12"	238394
	"2007"	"2007"	"Georgia"	"13"	150620
	"2007"	"2007"	"Hawaii"	"15"	19068
	"2007"	"2007"	"Idaho"	"16"	24979
	"2007"	"2007"	"Illinois"	"17"	180272
	"2007"	"2007"	"Indiana"	"18"	89687
	"2007"	"2007"	"Iowa"	"19"	40804
	"2007"	"2007"	"Kansas"	"20"	41906
	"2007"	"2007"	"Kentucky"	"21"	59219
	"2007"	"2007"	"Louisiana"	"22"	66096
	"2007"	"2007"	"Maine"	"23"	14087
	"2007"	"2007"	"Maryland"	"24"	77806
	"2007"	"2007"	"Massachusetts"	"25"	77682
	"2007"	"2007"	"Michigan"	"26"	124902
	"2007"	"2007"	"Minnesota"	"27"	73544
	"2007"	"2007"	"Mississippi"	"28"	46298
	"2007"	"2007"	"Missouri"	"29"	81739
	"2007"	"2007"	"Montana"	"30"	12416
	"2007"	"2007"	"Nebraska"	"31"	26886
	"2007"	"2007"	"Nevada"	"32"	41056
	"2007"	"2007"	"New Hampshire"	"33"	14118
	"2007"	"2007"	"New Jersey"	"34"	115567
	"2007"	"2007"	"New Mexico"	"35"	30492
	"2007"	"2007"	"New York"	"36"	252450
	"2007"	"2007"	"North Carolina"	"37"	130650
	"2007"	"2007"	"North Dakota"	"38"	8827
	"2007"	"2007"	"Ohio"	"39"	150447
	"2007"	"2007"	"Oklahoma"	"40"	54924
	"2007"	"2007"	"Oregon"	"41"	49227
	"2007"	"2007"	"Pennsylvania"	"42"	150308
	"2007"	"2007"	"Rhode Island"	"44"	12339
	"2007"	"2007"	"South Carolina"	"45"	62702
	"2007"	"2007"	"South Dakota"	"46"	12238
	"2007"	"2007"	"Tennessee"	"47"	86484
	"2007"	"2007"	"Texas"	"48"	406297
	"2007"	"2007"	"Utah"	"49"	55048
	"2007"	"2007"	"Vermont"	"50"	6501
	"2007"	"2007"	"Virginia"	"51"	108567
	"2007"	"2007"	"Washington"	"53"	88706
	"2007"	"2007"	"West Virginia"	"54"	21950
	"2007"	"2007"	"Wisconsin"	"55"	72608
	"2007"	"2007"	"Wyoming"	"56"	7882
"Total"	"2007"	"2007"			4293868
	"2008"	"2008"	"Alabama"	"01"	64348
	"2008"	"2008"	"Alaska"	"02"	11419
	"2008"	"2008"	"Arizona"	"04"	99155
	"2008"	"2008"	"Arkansas"	"05"	40562
	"2008"	"2008"	"California"	"06"	549536
	"2008"	"2008"	"Colorado"	"08"	69833
	"2008"	"2008"	"Connecticut"	"09"	40281
	"2008"	"2008"	"Delaware"	"10"	12049
	"2008"	"2008"	"Florida"	"12"	230640
	"2008"	"2008"	"Georgia"	"13"	146139
	"2008"	"2008"	"Hawaii"	"15"	19424
	"2008"	"2008"	"Idaho"	"16"	25090
	"2008"	"2008"	"Illinois"	"17"	176192
	"2008"	"2008"	"Indiana"	"18"	88545
	"2008"	"2008"	"Iowa"	"19"	40131
	"2008"	"2008"	"Kansas"	"20"	41739
	"2008"	"2008"	"Kentucky"	"21"	58225
	"2008"	"2008"	"Louisiana"	"22"	65088
	"2008"	"2008"	"Maine"	"23"	13588
	"2008"	"2008"	"Maryland"	"24"	76982
	"2008"	"2008"	"Massachusetts"	"25"	76741
	"2008"	"2008"	"Michigan"	"26"	120793
	"2008"	"2008"	"Minnesota"	"27"	72205
	"2008"	"2008"	"Mississippi"	"28"	44781
	"2008"	"2008"	"Missouri"	"29"	80789
	"2008"	"2008"	"Montana"	"30"	12566
	"2008"	"2008"	"Nebraska"	"31"	26935
	"2008"	"2008"	"Nevada"	"32"	39373
	"2008"	"2008"	"New Hampshire"	"33"	13648
	"2008"	"2008"	"New Jersey"	"34"	112350
	"2008"	"2008"	"New Mexico"	"35"	30059
	"2008"	"2008"	"New York"	"36"	249314
	"2008"	"2008"	"North Carolina"	"37"	130448
	"2008"	"2008"	"North Dakota"	"38"	8922
	"2008"	"2008"	"Ohio"	"39"	148462
